001 次: {'str': 10, 'dex': 5, 'int': 6, 'luk': 4}
002 次: {'str': 8, 'dex': 5, 'int': 5, 'luk': 7}
003 次: {'str': None, 'dex': 5, 'int': 8, 'luk': 5}
004 次: {'str': 10, 'dex': 5, 'int': 6, 'luk': 4}
005 次: {'str': 5, 'dex': 4, 'int': 10, 'luk': 6}
006 次: {'str': 11, 'dex': 4, 'int': 5, 'luk': 5}
007 次: {'str': 4, 'dex': 8, 'int': 7, 'luk': 6}
008 次: {'str': None, 'dex': 7, 'int': 4, 'luk': 7}
009 次: {'str': 5, 'dex': 6, 'int': 7, 'luk': 7}
010 次: {'str': 8, 'dex': 6, 'int': 6, 'luk': 5}
011 次: {'str': 4, 'dex': 5, 'int': 9, 'luk': 7}
012 次: {'str': 4, 'dex': 6, 'int': 9, 'luk': 6}
013 次: {'str': None, 'dex': 5, 'int': 4, 'luk': 9}
014 次: {'str': 5, 'dex': 6, 'int': 10, 'luk': 4}
015 次: {'str': 5, 'dex': 5, 'int': 11, 'luk': 4}
016 次: {'str': 5, 'dex': 4, 'int': 6, 'luk': 10}
017 次: {'str': 6, 'dex': 7, 'int': 8, 'luk': 4}
018 次: {'str': 6, 'dex': 7, 'int': 6, 'luk': 6}
019 次: {'str': 4, 'dex': 4, 'int': 5, 'luk': 12}
020 次: {'str': 6, 'dex': 9, 'int': 6, 'luk': 4}
021 次: {'str': 6, 'dex': 4, 'int': 7, 'luk': 8}
022 次: {'str': None, 'dex': 5, 'int': 5, 'luk': 8}
023 次: {'str': 13, 'dex': 4, 'int': 4, 'luk': 4}
